qid,sid,stitle
NC_004567.2:976346-977233,NZ_CP032739.1,"NZ_CP032739.1 Enterococcus casseliflavus strain EC-369 chromosome, complete genome"
NC_004567.2:976346-977233,NZ_CP031027.1,"NZ_CP031027.1 Enterococcus faecalis strain TY1 chromosome, complete genome"
NC_004567.2:976346-977233,NZ_CP022488.1,"NZ_CP022488.1 Enterococcus faecalis ARO1/DG chromosome, complete genome"
NC_004567.2:976346-977233,NZ_CP029612.1,"NZ_CP029612.1 Enterococcus faecalis strain H25 chromosome, complete genome"
NC_004567.2:976346-977233,NZ_CP022059.1,"NZ_CP022059.1 Enterococcus faecalis strain FDAARGOS_338 chromosome, complete genome"
NC_004567.2:976346-977233,NZ_CP015883.1,"NZ_CP015883.1 Enterococcus faecalis strain sorialis chromosome, complete genome"
NC_004567.2:976346-977233,NZ_CP019512.1,"NZ_CP019512.1 Enterococcus faecalis strain CLB21560 chromosome, complete genome"
NC_004567.2:976346-977233,NZ_CP018102.1,"NZ_CP018102.1 Enterococcus faecalis strain L12, complete genome"
NC_004567.2:976346-977233,NZ_CP015410.2,"NZ_CP015410.2 Enterococcus faecalis strain KB1, complete genome"
NC_004567.2:976346-977233,NZ_CP014949.1,"NZ_CP014949.1 Enterococcus faecalis strain LD33, complete genome"
NC_004567.2:976346-977233,NZ_CP008816.1,"NZ_CP008816.1 Enterococcus faecalis ATCC 29212, complete genome"
NC_004567.2:976346-977233,NZ_CP004081.1,"NZ_CP004081.1 Enterococcus faecalis DENG1, complete genome"
NC_004567.2:976346-977233,NC_019770.1,"NC_019770.1 Enterococcus faecalis str. Symbioflor 1, complete genome"
NC_004567.2:976346-977233,NC_018221.1,"NC_018221.1 Enterococcus faecalis D32, complete genome"
NC_004567.2:976346-977233,NC_017316.1,"NC_017316.1 Enterococcus faecalis OG1RF, complete genome"
NC_004567.2:976346-977233,NC_020995.1,"NC_020995.1 Enterococcus casseliflavus EC20, complete genome"
NC_004567.2:976346-977233,NC_004668.1,"NC_004668.1 Enterococcus faecalis V583 chromosome, complete genome"
NC_004567.2:976346-977233,NZ_CP025223.1,"NZ_CP025223.1 Enterococcus sp. CR-Ec1 chromosome, complete genome"
NC_004567.2:976346-977233,NZ_CP014067.2,"NZ_CP014067.2 Enterococcus gallinarum strain FDAARGOS_163 chromosome, complete genome"
NC_004567.2:976346-977233,NZ_AP017623.1,"NZ_AP017623.1 Enterococcus faecalis DNA, complete genome, strain: W11"
NC_004567.2:976346-977233,NZ_LS483306.1,"NZ_LS483306.1 Enterococcus cecorum strain NCTC12421 genome assembly, chromosome: 1"
NC_004567.2:976346-977233,NZ_CP018004.1,"NZ_CP018004.1 Enterococcus faecalis strain L9 chromosome, complete genome"
NC_004567.2:976346-977233,NZ_CP019609.1,"NZ_CP019609.1 Vagococcus penaei strain CD276, complete genome"
NC_004567.2:976346-977233,NZ_CP030110.1,"NZ_CP030110.1 Enterococcus faecium strain BM4105-RF chromosome, complete genome"
NC_004567.2:976346-977233,NZ_CP017065.1,"NZ_CP017065.1 Lactobacillus casei strain LC5, complete genome"
NC_004567.2:976346-977233,NZ_AP012544.1,"NZ_AP012544.1 Lactobacillus casei subsp. casei ATCC 393 DNA, complete genome"
NC_004567.2:976346-977233,NZ_LS991421.1,"NZ_LS991421.1 Lactobacillus casei isolate CECT 9104 genome assembly, chromosome: 1"
NC_004567.2:976346-977233,NZ_CP014985.1,"NZ_CP014985.1 Lactobacillus paracasei strain IIA, complete genome"
NC_004567.2:976346-977233,NZ_CP019970.1,"NZ_CP019970.1 Enterococcus faecium isolate 2014-VREF-114 chromosome, complete genome"
NC_004567.2:976346-977233,NZ_LT598663.1,"NZ_LT598663.1 Enterococcus faecium isolate Ef_aus00233 genome assembly, chromosome: 1"
NC_004567.2:976346-977233,NZ_LN999987.1,"NZ_LN999987.1 Enterococcus faecium isolate EFE11651 genome assembly, chromosome: I"
NC_004567.2:976346-977233,NZ_CP029536.1,"NZ_CP029536.1 Lactobacillus paracasei strain LC355 chromosome, complete genome"
NC_004567.2:976346-977233,NZ_CP029686.1,"NZ_CP029686.1 Lactobacillus paracasei strain Lpc10 chromosome, complete genome"
NC_004567.2:976346-977233,NZ_CP029546.1,"NZ_CP029546.1 Lactobacillus paracasei strain EG9 chromosome, complete genome"
NC_004567.2:976346-977233,NZ_CP020488.1,"NZ_CP020488.1 Enterococcus faecium strain CFSAN059071 chromosome, complete genome"
NC_004567.2:976346-977233,NZ_CP020484.1,"NZ_CP020484.1 Enterococcus faecium strain CFSAN059070 chromosome, complete genome"
NC_004567.2:976346-977233,NZ_CP027501.1,"NZ_CP027501.1 Enterococcus faecium strain AUSMDU00004142 chromosome, complete genome"
NC_004567.2:976346-977233,NZ_CP027517.1,"NZ_CP027517.1 Enterococcus faecium strain AUSMDU00004024 chromosome, complete genome"
NC_004567.2:976346-977233,NZ_CP027512.1,"NZ_CP027512.1 Enterococcus faecium strain AUSMDU00004028 chromosome, complete genome"
NC_004567.2:976346-977233,NZ_CP027506.1,"NZ_CP027506.1 Enterococcus faecium strain AUSMDU00004055 chromosome, complete genome"
NC_004567.2:976346-977233,NZ_CP027497.1,"NZ_CP027497.1 Enterococcus faecium strain AUSMDU00004167 chromosome, complete genome"
NC_004567.2:976346-977233,NZ_CP027402.1,"NZ_CP027402.1 Enterococcus faecium strain FDAARGOS_323 chromosome, complete genome"
NC_004567.2:976346-977233,NZ_CP026097.1,"NZ_CP026097.1 Lactobacillus casei strain HDS-01 chromosome, complete genome"
NC_004567.2:976346-977233,NZ_CP025754.1,"NZ_CP025754.1 Enterococcus faecium strain AALTL chromosome, complete genome"
NC_004567.2:976346-977233,NZ_CP025582.1,"NZ_CP025582.1 Lactobacillus paracasei strain HD1.7 chromosome, complete genome"
NC_004567.2:976346-977233,NZ_CP021885.1,"NZ_CP021885.1 Enterococcus faecium strain WEFA23 chromosome, complete genome"
NC_004567.2:976346-977233,NZ_CP023808.1,"NZ_CP023808.1 Enterococcus faecium strain Efaecium_ER04526.3A chromosome, complete genome"
NC_004567.2:976346-977233,NZ_CP023799.1,"NZ_CP023799.1 Enterococcus faecium strain Efaecium_ER04526.5A chromosome, complete genome"
NC_004567.2:976346-977233,NZ_CP023804.1,"NZ_CP023804.1 Enterococcus faecium strain Efaecium_ER04619.3A isolate isolate chromosome, complete genome"
NC_004567.2:976346-977233,NZ_CP023789.1,"NZ_CP023789.1 Enterococcus faecium strain Efaecium_ER04462.3A chromosome, complete genome"
NC_004567.2:976346-977233,NZ_CP023794.1,"NZ_CP023794.1 Enterococcus faecium strain Efaecium_ER04484.3A chromosome, complete genome"
NC_004567.2:976346-977233,NZ_CP023784.1,"NZ_CP023784.1 Enterococcus faecium strain Efaecium_ER04120.3A chromosome, complete genome"
NC_004567.2:976346-977233,NZ_CP023780.1,"NZ_CP023780.1 Enterococcus faecium strain Efaecium_ER03933.3A isolate isolate chromosome, complete genome"
NC_004567.2:976346-977233,NZ_CP025425.1,"NZ_CP025425.1 Enterococcus faecium strain SC4 chromosome, complete genome"
NC_004567.2:976346-977233,NZ_CP016355.1,"NZ_CP016355.1 Lactobacillus paracasei subsp. paracasei strain TMW 1.1434 chromosome, complete genome"
NC_004567.2:976346-977233,NZ_CP017787.1,"NZ_CP017787.1 Enterococcus faecium strain E232 chromosome, complete genome"
NC_004567.2:976346-977233,NZ_CP021849.1,"NZ_CP021849.1 Enterococcus faecium strain 16-346 chromosome, complete genome"
NC_004567.2:976346-977233,NZ_CP017797.1,"NZ_CP017797.1 Enterococcus faecium strain E243 chromosome, complete genome"
NC_004567.2:976346-977233,NZ_CP017792.1,"NZ_CP017792.1 Enterococcus faecium strain E240 chromosome, complete genome"
NC_004567.2:976346-977233,NZ_CP017261.1,"NZ_CP017261.1 Lactobacillus paracasei strain FAM18149 chromosome, complete genome"
NC_004567.2:976346-977233,NZ_CP023423.1,"NZ_CP023423.1 Enterococcus faecium strain K60-39 chromosome, complete genome"
NC_004567.2:976346-977233,NZ_CP017716.1,"NZ_CP017716.1 Lactobacillus paracasei strain TK1501 chromosome, complete genome"
NC_004567.2:976346-977233,NZ_CP019988.1,"NZ_CP019988.1 Enterococcus faecium isolate 2014-VREF-63 chromosome, complete genome"
NC_004567.2:976346-977233,NZ_CP019992.1,"NZ_CP019992.1 Enterococcus faecium isolate 2014-VREF-268 chromosome, complete genome"
NC_004567.2:976346-977233,NZ_CP019208.1,"NZ_CP019208.1 Enterococcus faecium strain 2014-VREF-41 chromosome, complete genome"
NC_004567.2:976346-977233,NZ_CP018830.1,"NZ_CP018830.1 Enterococcus faecium strain ISMMS_VRE_9 chromosome, complete genome"
NC_004567.2:976346-977233,NZ_CP018828.1,"NZ_CP018828.1 Enterococcus faecium strain ISMMS_VRE_12 chromosome, complete genome"
NC_004567.2:976346-977233,NZ_CP018071.1,"NZ_CP018071.1 Enterococcus faecium strain VRE001, complete genome"
NC_004567.2:976346-977233,NZ_CP018065.1,"NZ_CP018065.1 Enterococcus faecium strain E1 chromosome, complete genome"
NC_004567.2:976346-977233,NZ_CP016163.1,"NZ_CP016163.1 Enterococcus faecium strain ISMMS_VRE_11 chromosome, complete genome"
NC_004567.2:976346-977233,NZ_CP012460.1,"NZ_CP012460.1 Enterococcus faecium strain ISMMS_VRE_7, complete genome"
NC_004567.2:976346-977233,NZ_CP012430.1,"NZ_CP012430.1 Enterococcus faecium strain ISMMS_VRE_1, complete genome"
NC_004567.2:976346-977233,NZ_CP011281.1,"NZ_CP011281.1 Enterococcus faecium strain E39, complete genome"
NC_004567.2:976346-977233,NZ_CP013994.1,"NZ_CP013994.1 Enterococcus faecium strain 6E6, complete genome"
NC_004567.2:976346-977233,NZ_CP013921.1,"NZ_CP013921.1 Lactobacillus paracasei strain KL1, complete genome"
NC_004567.2:976346-977233,NZ_CP013009.1,"NZ_CP013009.1 Enterococcus faecium strain UW7606x64/3 TC1, complete genome"
NC_004567.2:976346-977233,NZ_CP012522.1,"NZ_CP012522.1 Enterococcus faecium strain 64/3, complete genome"
NC_004567.2:976346-977233,NZ_CP012148.1,"NZ_CP012148.1 Lactobacillus paracasei strain L9, complete genome"
NC_004567.2:976346-977233,NZ_CP012187.1,"NZ_CP012187.1 Lactobacillus paracasei strain CAUH35, complete genome"
NC_004567.2:976346-977233,NZ_CP006030.1,"NZ_CP006030.1 Enterococcus faecium T110, complete genome"
NC_004567.2:976346-977233,NZ_CP007122.1,"NZ_CP007122.1 Lactobacillus paracasei N1115, complete genome"
NC_004567.2:976346-977233,NC_021994.1,"NC_021994.1 Enterococcus faecium Aus0085, complete genome"
NC_004567.2:976346-977233,NC_021721.1,"NC_021721.1 Lactobacillus casei LOCK919, complete genome"
NC_004567.2:976346-977233,NC_020207.1,"NC_020207.1 Enterococcus faecium NRRL B-2354, complete genome"
NC_004567.2:976346-977233,NZ_CP006690.1,"NZ_CP006690.1 Lactobacillus casei 12A, complete genome"
NC_004567.2:976346-977233,NC_017022.1,"NC_017022.1 Enterococcus faecium Aus0004, complete genome"
NC_004567.2:976346-977233,NC_017960.1,"NC_017960.1 Enterococcus faecium DO chromosome, complete genome"
NC_004567.2:976346-977233,NC_022112.1,"NC_022112.1 Lactobacillus paracasei subsp. paracasei 8700:2, complete genome"
NC_004567.2:976346-977233,NC_014334.2,"NC_014334.2 Lactobacillus casei str. Zhang, complete genome"
NC_004567.2:976346-977233,NC_008526.1,"NC_008526.1 Lactobacillus paracasei ATCC 334 chromosome, complete genome"
NC_004567.2:976346-977233,NZ_CP032308.1,"NZ_CP032308.1 Enterococcus faecium strain HY07 chromosome, complete genome"
NC_004567.2:976346-977233,NZ_CP014201.1,"NZ_CP014201.1 Lactobacillus rhamnosus strain BFE5264, complete genome"
NC_004567.2:976346-977233,NZ_LN999844.1,"NZ_LN999844.1 Enterococcus faecium isolate EFE10021 genome assembly, chromosome: chr"
NC_004567.2:976346-977233,NZ_CP022109.1,"NZ_CP022109.1 Lactobacillus rhamnosus strain ATCC 11443 chromosome, complete genome"
NC_004567.2:976346-977233,NZ_CP031290.1,"NZ_CP031290.1 Lactobacillus rhamnosus GG chromosome, complete genome"
NC_004567.2:976346-977233,NZ_CP019305.1,"NZ_CP019305.1 Lactobacillus rhamnosus strain SCT-10-10-60 chromosome, complete genome"
NC_004567.2:976346-977233,NZ_CP025077.1,"NZ_CP025077.1 Enterococcus faecium strain LS170308 chromosome, complete genome"
NC_004567.2:976346-977233,NZ_CP018128.1,"NZ_CP018128.1 Enterococcus faecium strain A_020709_82, complete genome"
NC_004567.2:976346-977233,NZ_CP006804.1,"NZ_CP006804.1 Lactobacillus rhamnosus DSM 14870, complete genome"
NC_004567.2:976346-977233,NZ_CP017063.1,"NZ_CP017063.1 Lactobacillus rhamnosus strain LR5, complete genome"
NC_004567.2:976346-977233,NZ_CP021426.1,"NZ_CP021426.1 Lactobacillus rhamnosus strain 4B15, complete genome"
NC_004567.2:976346-977233,NZ_CP014529.1,"NZ_CP014529.1 Enterococcus faecium strain E745, complete genome"
NC_004567.2:976346-977233,NZ_CP011828.1,"NZ_CP011828.1 Enterococcus faecium strain UW8175, complete genome"
